design_element,reversibility_window,cost_multiplier_after_window_low,cost_multiplier_after_window_high,category
Roof span and column grid,Before module fabrication starts,10,50,Structural
Foundation piling and slab reinforcement,Before slab pour,20,100,Structural
Primary MEP risers,Before ceiling/roof deck closes,5,20,Structural-adjacent
Modular pod dimensions,Before fabrication release for that pod,5,15,Structural
Gate-position boarding-bridge type,Before bridge order lead time (~9-12 mo),2,4,Equipment
FIS envelope,Before FIS interior framing,3,8,Structural-adjacent
Lounge square footage within shell,Before tenant-improvement release,1.2,2,Fitout
Concessions plan,Before TI release,1.1,1.5,Fitout
Signage and wayfinding,Any time post-opening,1.0,1.2,Fitout
Curbside lane configuration,Before curb pour,20,50,Structural
