concern,primary_regulatory_anchor,specific_citation,threshold_or_standard,data_center_status,risk_level,notes
Approach surface penetration,"14 CFR Part 77","14 CFR §77.19","Precision instrument: 50:1 slope for 10000ft then 40:1 for 40000ft","May not penetrate surface (height compliant) but site is within protected corridor","Medium-High","Height compliance ≠ use compatibility; land still protected"
Runway protection zone land use,"FAA AC 150/5300-13B","Airport Design §7","RPZ for precision runway: 1000ft inner, 1750ft outer, 2500ft long (~79 acres)","Site is within or adjacent to RPZ per memo description","High","RPZ is highest-priority strategic land on airport"
Land use compatibility,"FAA AC 150/5190-4B","Airport Land Use Compatibility Planning","Industrial/energy facilities incompatible near approach surfaces","Data center with cooling towers/generators is industrial energy use","High","AC specifically addresses energy facilities as incompatible near approach/departure paths"
Wildlife attractant - stormwater,"FAA AC 150/5200-33B","Hazardous Wildlife Attractants §","10,000 ft minimum from runway end for turbojet airports","Proposed stormwater retention facility is within RPZ (<2500ft from threshold)","Very High","Direct violation of 10,000ft standard; ponds attract birds into approach/departure path"
Thermal plume - aircraft hazard,"FAA AIM 7-6-16","Avoid Flight in Vicinity of Exhaust Plumes","Plumes extend 1000ft+ above cooling tower; most hazardous in approach/departure corridor","Data center will require cooling towers generating continuous thermal plumes","High","AIM requires pilots to avoid plumes; puts responsibility on airport to prevent plume sources in approach corridor"
Electromagnetic interference - ILS,"FAA Order 6750.16E","ILS Siting Criteria","ILS critical area must be free of vehicles/structures during low visibility; structures > 1 degree vertical angle cause concern","Server farms, UPS, generators, substations all emit broadband EMI","Medium-High","No EMI study has been conducted; proximity to ILS localizer/glide slope unknown but concerning"
Approach lighting interference,"FAA AIM Chapter 2","AIM §2-1-1","ALSF-2 system provides critical visual cues for CAT I/II/III approaches","Data center bright lighting in approach environment near ALSF-2 system at RWY 19R end","Medium-High","Bright ground lights near ALSF-2 can obscure pilot's ability to identify approach light pattern"
ALP compliance,"49 USC 47107(a)(16); FAA ARP SOP 2.00","Grant Assurance 29","All additions to ALP require FAA review and approval; must not adversely affect safety/utility/efficiency","Not on approved ALP; not designated in 2025 master plan; no FAA ADO coordination","Very High","Cannot proceed without FAA ALP concurrence; current master plan does not include this use"
Grant assurance 19 - operations,"49 USC 47107; FAA Assurance 19","Operation and Maintenance","No activity that interferes with operations","Thermal, EMI, and lighting hazards interfere with precision approach operations","High","Interference with ILS and approach lighting is direct violation"
Grant assurance 20 - hazards,"49 USC 47107; FAA Assurance 20","Hazard Removal and Mitigation","Prevent establishment of future airport hazards","Data center introduces new thermal, EMI, wildlife, and lighting hazards in approach corridor","High","Establishing new hazard is explicit violation"
Grant assurance 21 - land use,"49 USC 47107(a)(10); FAA Assurance 21","Compatible Land Use","Land use must be compatible with normal airport operations including landing and takeoff","Data center is industrial energy use incompatible with precision instrument approach corridor","High","Statutory basis for FAA disapproval; sponsor must restrict incompatible uses"
Grant assurance 22 - nondiscrimination,"49 USC 47107; FAA Assurance 22","Economic Nondiscrimination","Airport must remain available for aeronautical activities","Occupying approach-end land with non-aeronautical use could limit future aeronautical development","Medium","Secondary risk; more applicable if land is removed from aeronautical availability"
